x,y,z,c,label
2.912451630189028,0.06910151351571557,-0.46004957953615144,r,United States of America
-1.7607579265311033,-0.3143638789346326,1.5107088532427841,g,Italy
-0.2870959255346824,-0.39975884500694886,-0.735291530931048,b,Uruguay
-0.33924231946281247,-0.37234733610077153,-0.4604423933402273,c,Pakistan
-0.6687391961779094,-0.4033794269731162,-0.3623942378693517,m,Niger
-1.7948850612791567,-0.3799611430761635,1.0013730578839666,g,Italy
2.989622147362047,0.11070314109112765,-0.19568685653600426,r,United States of America
-0.6715062821674851,-0.4005255510584292,-0.3349051926267529,m,Niger
-1.5641177710108978,-0.3324005461747414,1.162111394765294,g,Italy
-0.25344102684308906,-0.40204804186030635,-0.8024794831172125,c,Pakistan
-0.19961824013712423,-0.405251607113317,-0.8696792854840079,b,Uruguay
-0.2699986505431278,-0.369139445488952,-0.5087458744679126,c,Pakistan
-0.6653556700230673,-0.401154258507734,-0.34692321517706176,m,Niger
-0.24342373133826573,-0.39383369952893166,-0.739626053944452,b,Uruguay
2.9053618881353462,0.04686296445681669,-0.5909231107977384,r,United States of America
-1.6571457295746053,-0.31400238421631776,1.4125222773917638,g,Italy
-0.23171443026406457,-0.39801552102765064,-0.7826513260827712,b,Uruguay
-0.29590478279228816,-0.37070025036595955,-0.49227125430929874,c,Pakistan
-1.7167185925117163,-0.3610565840804638,0.9398622847908795,g,Italy
-0.6427449074485467,-0.4020078637309324,-0.37939572896271523,m,Niger
-0.6709778171999804,-0.40054330947217043,-0.3357293704189595,m,Niger
-0.20391131170515747,-0.38501891721456083,-0.7129937189046224,c,Pakistan
3.313753039168269,0.1470804818539254,-0.22025340669144625,r,United States of America
-1.824406600634122,-0.29685642771311455,1.734681987775096,g,Italy
-0.17790782198074903,-0.40544582881635316,-0.8961633045264664,b,Uruguay
-0.3219754671810236,-0.3755321432422516,-0.5071077532564172,c,Pakistan
-0.1890067219397373,-0.3945726391975512,-0.799624257133726,b,Uruguay
-0.6519575450349568,-0.40391559480580164,-0.3857617141620676,m,Niger
3.3952171439391887,0.09227310483412503,-0.7326282868174375,r,United States of America
-1.7425525429270445,-0.31565637592186446,1.4752318130774418,g,Italy
-1.7857872633504515,0.33972032348227277,0.9224529143608041,g,Italy
-0.13018220553205698,-0.39793978265831764,-0.8867330436769193,b,Uruguay
-0.29555734157513586,-0.38250360205358747,-0.5973214723136762,c,Pakistan
-0.6549574253493922,-0.40530041529154043,-0.3937386846296836,m,Niger
-0.677611486130415,-0.3980716324203247,-0.32210813956121764,m,Niger
-0.18060202307754117,-0.36967590106066167,-0.657355926433325,c,Pakistan
2.8692510663879522,0.23470833970967223,0.9533081637480618,r,United States of America
-0.3006708682282599,-0.35714005884489175,-0.7529285371450073,b,Uruguay
-1.8516892640853257,-0.35377997563197905,1.2712080144836968,g,Italy
-0.19220214599011912,-0.3986834734279064,-0.831221571667131,b,Uruguay
-0.21918808405677942,-0.3973032483952156,-0.7985253388387908,c,Pakistan
-0.6661092799298782,-0.40459260650949197,-0.3751881975576155,m,Niger
-1.618372505981351,-0.03467349171637047,0.8628078229299746,g,Italy
2.234058247718275,0.3787559267865315,2.807625940839788,r,United States of America
-1.835535066237709,-0.35548880515557746,1.2533282567106683,g,Italy
-0.6563866684813051,-0.3993105588489612,-0.3614566750743577,m,Niger
-0.22930501306541984,-0.3962118623106165,-0.7745653694170708,b,Uruguay
-0.24216729083471264,-0.35496893935165325,-0.6746969992001659,c,Pakistan
-0.191316452696268,-0.3986596765489093,-0.8434273880897094,c,Pakistan
-0.6646903748852064,-0.4037450759812344,-0.3698741211344118,m,Niger
-0.2293978227243246,-0.37389022220354656,-0.7831267540128087,b,Uruguay
2.469089869598351,0.2115625524024536,1.2099581547974025,r,United States of America
-1.7283445441707486,-0.36176494490460803,1.0903077131569217,g,Italy
-0.17253729375169835,-0.39269617181206046,-0.8035770076656917,b,Uruguay
-0.23551077323236363,-0.39817241974783296,-0.7928949847364243,c,Pakistan
-0.6735406032882884,-0.4029283058406834,-0.35306265526811165,m,Niger
-1.6707438334380367,-0.26972275546222213,1.1954616528262327,g,Italy
-0.6678824238014488,-0.400107588126757,-0.345551572353744,m,Niger
-0.22935347543869083,-0.2826645273224891,-0.5333544915331018,c,Pakistan
2.6706154492300427,0.25714280450604293,1.3816084640776602,r,United States of America
-1.7816655558245384,-0.34512807519983374,1.2724021718817435,g,Italy
-0.16964759278859043,-0.39357879341761726,-0.8134337741787465,b,Uruguay
-0.20408950502243398,-0.399815983209131,-0.8420312421682276,c,Pakistan
-0.6651026056047857,-0.40375254027375435,-0.36934867199759613,m,Niger
-0.17336325942167555,-0.38797362803396507,-0.8837604171694015,b,Uruguay
2.7926306257675746,0.2623175190804327,1.229681252637244,r,United States of America
-1.9375926504449457,-0.3385335899540491,1.4899391586632047,g,Italy
-0.1641054301774258,-0.3932770366455707,-0.8171723072879797,b,Uruguay
-1.6195168763775039,-0.2883048715053933,1.3420665780991239,g,Italy
-0.2258490792742286,-0.4009240700750423,-0.8260923450272788,c,Pakistan
-0.6529153740068594,-0.40349127738656454,-0.3809505398550987,m,Niger
-0.6407034602335983,-0.39953814920715686,-0.37139908357603213,m,Niger
-0.6404121022957889,-0.2547735383727359,-0.4100487238180741,c,Pakistan
2.6439858338942845,0.2486153257888523,1.242923091419354,r,United States of America
-1.9989100034051326,-0.3115926918133663,1.7705847142215392,g,Italy
-0.24200371162807416,-0.3852617179433887,-0.7969882818307025,b,Uruguay
-0.164035805851384,-0.39495235899739933,-0.8299279534912062,b,Uruguay
-0.17143948856219793,-0.3958543022198114,-0.8421846121953468,c,Pakistan
-0.6700257534625654,-0.4035373956149062,-0.36255370982821405,m,Niger
2.189248640238645,0.14473519723353936,0.9138782129225254,r,United States of America
-1.5783743122311822,-0.29860232386810714,1.1762667532613917,g,Italy
-1.8124145276637866,-0.32703854515578396,1.4566528340866507,g,Italy
-0.16336046634988247,-0.39899513445961277,-0.8625670548813124,b,Uruguay
-0.667138921830556,-0.39980653976149283,-0.3385953634386459,m,Niger
-0.2955767111234982,-0.3876642454937275,-0.6360516680136326,c,Pakistan
-0.6258780713018601,-0.3630160959867523,-0.3965854225782008,c,Pakistan
-0.6702199722369002,-0.40347905869778444,-0.36158928973255156,m,Niger
-0.2766007074984125,-0.36194619635207037,-0.7616739147998868,b,Uruguay
2.5174306736015075,0.11721807295226676,0.3821914865358913,r,United States of America
-1.7921232917743533,-0.3063378506331433,1.603509387667041,g,Italy
-0.2736974824666594,-0.4012883397773626,-0.7632010303709703,b,Uruguay
-0.18024763951239012,-0.378555667723322,-0.6867931842494724,c,Pakistan
-0.6734591519902285,-0.4037956735614947,-0.36047014087913204,m,Niger
-1.617292027184867,-0.16541038962578664,1.3451147757501418,g,Italy
2.795311506915143,0.08596614689657277,-0.15324820028829914,r,United States of America
-1.5770816397827008,-0.327881646817566,1.2164141010485092,g,Italy
-0.6591988097320312,-0.3996121297895102,-0.34074785836823607,m,Niger
-0.6229550874385408,-0.38466809910525307,-0.39393681974464045,c,Pakistan
-0.16627627899887137,-0.3993106346628009,-0.8619579891192194,b,Uruguay
-0.275550265608205,-0.3755853646786935,-0.5559711925093829,c,Pakistan
-0.6602200601357617,-0.4030375524811974,-0.36869979650624046,m,Niger
-0.1986895955914189,-0.38190541990716736,-0.8586268889667287,b,Uruguay
2.282938754485795,0.11567632496748335,0.6692637806243299,r,United States of America
-1.7244083490460351,-0.30929157764747295,1.5320932094143418,g,Italy
-0.1549657231469354,-0.3982605589072005,-0.8634668822839916,b,Uruguay
-0.2732085375168305,-0.37900223947477857,-0.5868306510464902,c,Pakistan
-1.6272410747557349,-0.08433649817551622,1.3240389295210635,g,Italy
-0.6534290226723325,-0.4015277552296928,-0.3634260940082195,m,Niger
-0.6712820168183856,-0.40001824224212423,-0.33576792026262015,m,Niger
-0.623852179298631,-0.3778362264021851,-0.39484390698345834,c,Pakistan
2.717986357360218,0.11696873379531463,0.23950418795580314,r,United States of America
-1.81711251457725,-0.3058251034502572,1.654290251420374,g,Italy
-0.1913033865441926,-0.39484868814007523,-0.8013986028274457,b,Uruguay
-0.24503021743976103,-0.3684345086553242,-0.7826684599547677,b,Uruguay
-0.2531470567228853,-0.3733237467872694,-0.5650479385126967,c,Pakistan
-0.6716057730177176,-0.40109322811114845,-0.3397118745468167,m,Niger
3.0087142207081046,0.10654852270493691,-0.14936511661485774,r,United States of America
-1.8258132383809862,-0.33956035884248403,1.3701594113907156,g,Italy
-1.8089963454080558,2.4355880777835424,0.5472456327344074,g,Italy
-0.1352647125648677,-0.398710759513126,-0.8904385690205996,b,Uruguay
-0.1994925103076784,-0.38308385480059637,-0.7052672293114586,c,Pakistan
-0.6567833192614762,-0.4019764663456568,-0.36349855030129274,m,Niger
-0.6908988309851949,-0.3998847162743315,-0.30759359138783743,m,Niger
-0.6247486188335383,-0.37100449448926626,-0.39575277073092197,c,Pakistan
2.849705562510919,0.30316507575727253,1.5590249760946153,r,United States of America
-0.20605344981863327,-0.2939159720965482,-0.811341140840644,b,Uruguay
-2.033755867274443,-0.37424229264323067,1.3003950360157057,g,Italy
-0.10759027614465876,-0.39310558635795234,-0.8755415117998502,b,Uruguay
-0.19985961282702863,-0.39578529532127094,-0.806634550890089,c,Pakistan
-0.6839032505234192,-0.40267741720451516,-0.3391930287385253,m,Niger
-2.2915368627334636,3.2427085378395555,0.656456537735054,g,Italy
2.4839367404246446,0.4992989832361315,3.565641225867059,r,United States of America
-2.1031452959470727,-0.3730695139756267,1.3922270279843858,g,Italy
-0.7259703131120377,-0.3947809203370861,-0.27516459091417,m,Niger
-0.2676658751521745,-0.40150408698254303,-0.7731051369392664,b,Uruguay
-0.6342776075736212,-0.29979938061519,-0.4046997324428542,c,Pakistan
-0.22788160687829584,-0.38860634103301933,-0.7151634248879717,c,Pakistan
-0.6579606320787414,-0.40080933314875683,-0.35217873222203716,m,Niger
-0.13042731546685404,-0.09843578271082416,-0.9473486819705556,b,Uruguay
3.5003677882219084,0.340655523320287,1.1752828679221214,r,United States of America
-1.9149529508315395,1.5435577698949046,0.3242740419919721,g,Italy
-0.707118472633184,-0.38146112216994454,-0.30249217131446654,m,Niger
3.363124326953334,0.35014358856659306,1.4201712362262895,r,United States of America
-0.6308199044345499,-0.3254391066380895,-0.40155308428795045,c,Pakistan
-0.7917704064358275,0.8748654875859332,-0.551464726012302,b,Uruguay
3.400105426639805,0.19841557862318346,0.0977211509086899,r,United States of America
-1.8260738449212146,1.2227901975237505,0.5298055407316788,g,Italy
-0.7105395852626328,-0.3932680454354922,-0.29399397006532146,m,Niger
-0.6290427475906987,-0.33854598924716434,-0.3999717214286973,c,Pakistan
2.7251274860628274,0.2214497650507097,0.9899868961849724,r,United States of America
-0.8237569524323011,1.1135548226546073,-0.581331367729301,b,Uruguay
1.9453220008027128,0.22395638809468213,1.8311112109990837,r,United States of America
-2.199420737893465,1.587312857547269,0.8394455012511162,g,Italy
-0.7077537769551184,-0.40124053906669505,-0.3103256815573585,m,Niger
-0.6269619938505376,-0.3539311482883055,-0.398100431717025,c,Pakistan
-0.8229748026475371,1.107854133524149,-0.580669616655177,b,Uruguay
2.2754444760179378,0.15484673257570417,0.9634274207602427,r,United States of America
-2.1087880560257077,2.453853525513614,0.573428011214645,g,Italy
2.281444113609174,0.15392049061921007,0.924690706389197,r,United States of America
-0.6210598597366014,-0.3978004647313136,-0.392677004950266,m,Niger
-0.6406916960034871,-0.2513940666698168,-0.41096238317672934,c,Pakistan
-1.3083269060135323,4.727562816822332,-1.0328075415397255,b,Uruguay
2.519105103594509,0.17075364335590296,0.8333571242744066,r,United States of America
-2.0028038171147533,1.3143365646688172,0.8858176059101608,g,Italy
-0.6209639015131525,-0.3983743631364148,-0.3926591508780176,m,Niger
-0.6456373766656978,-0.21436943483344403,-0.4156403849914327,c,Pakistan
3.075847255649012,0.18903847752674222,0.42219853669070007,r,United States of America
-1.4646745301814534,5.893682705304179,-1.1785035186262207,b,Uruguay
3.858908475945934,0.19677174220988738,-0.364863421931396,r,United States of America
-1.900956210459784,0.1663668410842352,1.3454217467859289,g,Italy
-0.6207909024965566,-0.39951807703229336,-0.39257192398279456,m,Niger
-0.633700553582563,-0.3032430526260951,-0.4045961610266557,c,Pakistan
4.0390438365924775,0.3116822933353129,0.322769281645945,r,United States of America
-1.7599721252516827,8.09604073343892,-1.4536219064390146,b,Uruguay
-1.6364633073131278,-0.21863860244433997,1.284293761309338,g,Italy
4.000225156379006,0.47204254813614227,1.6282149904290746,r,United States of America
-0.6206949442731078,-0.4000919754373945,-0.3925540699105462,m,Niger
-0.6252018638830154,-0.3664811681003194,-0.3967518804761545,c,Pakistan
-1.1014839616418977,3.1854405903177065,-0.8403679631298481,b,Uruguay
4.754753474591145,0.36936814580142,-0.010832599121830171,r,United States of America
-1.6157423516648022,0.323027522563313,1.168769328710533,g,Italy
-0.6207511106604053,-0.39952666523138797,-0.3926802910101846,m,Niger
6.0238347520610835,0.44360755625321807,-0.8472358369274343,r,United States of America
-0.6368690774009224,-0.2793253033987972,-0.4076927999821059,c,Pakistan
-0.6796466194610626,0.0396925289531025,-0.44753642568957475,b,Uruguay
5.937747304394464,0.36507205751727606,-1.4080503286418433,r,United States of America
5.875762902483889,0.3941773341714114,-1.131136172504277,r,United States of America
3.6943004857413033,0.3437106575156314,0.8270763035727834,r,United States of America
4.268733034341192,0.26844406263570036,-0.3449596717676416,r,United States of America
3.456902895208488,0.30944081504971127,0.885910151306748,r,United States of America
2.936024468500057,0.2713947994000751,1.1861734569486364,r,United States of America
-0.7340913750391097,0.44586622600652437,-0.498320970902995,g,Italy
-0.6519737719772334,-0.16653407716899737,-0.42183543941097884,b,Uruguay
-0.6389113439552978,-0.2639484509764525,-0.4096689037038767,c,Pakistan
-0.6209600539836319,-0.3978220056241246,-0.39294881077306393,m,Niger
